x_mm,y_mm,z_mm,anchor_5pct,anchor_10pct
-18.677117163256725,186.6760780228049,-248.3051343106117,0,0
-19.061319334912486,186.66600657104715,-247.4767444539332,0,0
-18.16065883889691,187.71282219326537,-245.7465963615336,0,0
-18.78860044442614,187.08066347311865,-246.54740075932423,0,0
-19.52181329025432,186.4913308859668,-246.82741071158685,0,0
-18.938974305468992,187.18063004010847,-245.52463277692192,0,0
-18.904020496285025,186.594342735908,-238.58036908544867,0,0
-18.76480788398024,187.26585257860447,-240.03673607734115,1,0
-19.69652742170212,185.9124625676763,-239.85944448095216,0,0
-18.379479201736068,187.9367608731173,-243.258069739618,0,0
-18.64199460436337,187.5407607995085,-244.76717436540423,0,0
-18.541650446555074,187.75582916897727,-241.353749984505,0,1
-19.38403669120077,186.96346415881737,-244.07202023659147,0,0
-19.60502885857301,186.46162728564585,-241.1650442253873,0,0
-19.45174974791856,186.8829735139277,-242.74414317525543,1,0
-19.3932152886,186.275155806,-248.148198623,0,1
-19.77824982839558,186.19108324266853,-247.36350911566885,1,0
-20.12120258484356,186.06087306686348,-246.57918659360945,0,0
-19.60986197955632,186.59516441220407,-245.82714500843923,0,0
-19.34212861508281,186.9254418127574,-245.0098523362299,1,0
-20.04773731078027,185.8458551553776,-248.04783596406776,1,0
-20.45822367904965,185.23241906323145,-241.0892494907596,0,0
-20.260909849279862,186.06255358512,-243.67800114588857,0,0
-20.04097189892741,186.307297453622,-244.78581475731704,0,0
-20.3684604380572,185.74832651133084,-242.38337966283484,0,1
-20.426791236391864,185.6897543255923,-247.297622544576,0,0
-20.70051570145383,185.33743048665733,-247.98598352157785,0,0
-20.482570009071456,185.83398927009785,-245.7082598451757,0,0
-20.79633567656804,185.46170459573776,-246.54787526452748,0,0
-21.06595556190837,185.1133349188122,-247.28004246381448,0,0
-21.44421126428048,184.8082440984756,-246.5795438242654,0,1
-21.24506701916215,185.0544733123773,-245.78023518820245,0,0
-21.08955101874187,185.00330667608463,-243.36063474702155,0,0
-21.146691906892336,184.5749788899736,-242.16526601943264,0,0
-21.729878075989525,183.989909709164,-243.09674221403205,0,0
-21.00458591993369,185.28742837286168,-244.6202364043461,0,0
-21.766677203988365,184.4130843211525,-245.1909625790217,0,1
-21.703417817817552,184.32090980255705,-244.12388407851248,0,0
-22.25007323256536,183.4220527110513,-243.90816448977887,0,0
-21.33475829508954,184.7558655752044,-247.96200286284247,0,0
-21.65473365542956,184.51422723365167,-247.3266329731197,1,0
-21.87913892740376,184.2025679397662,-247.97314240978207,0,1
-22.25235917631007,183.67828010903816,-244.8219973793248,0,0
-21.99515436716713,184.19040261320487,-246.7420110399141,0,0
-22.16506109360888,183.95166187812305,-247.41087406426428,0,0
-22.28906641491515,183.77994178907343,-245.68990658381583,0,0
-21.836596857225803,184.3822346890454,-246.00088908318708,0,0
-22.34593970639561,183.6955750369828,-248.0063274315916,0,1
-22.702028597496163,182.8957534581737,-244.63347500614768,0,0
-22.681245732582777,183.1531991430604,-245.4132030483345,0,0
-22.266256108850776,183.8627700517113,-246.3170056395997,0,1
-22.664563269479377,183.31599908525348,-246.1989015956327,0,0
-22.44921846224958,183.6416984494753,-246.8651909492071,0,0
-22.82190580363478,183.1585332093425,-246.97664628434504,0,0
-22.74526667867625,183.23228770999668,-248.0499121934216,0,0
-22.587639746198874,183.4518807369037,-247.4951057559407,0,0
-22.94100238656364,183.00863352331328,-247.5744159064369,1,0
-23.08936224498856,182.8124502219705,-248.0980902713445,0,0
-23.25714017941125,182.58711224003312,-247.6861028207032,0,1
-23.0657918212197,182.4420597060912,-245.25009599876856,0,0
-23.069886164838373,182.6425431115601,-245.9550619356825,1,0
-23.38487414788857,182.00876030793447,-245.80890797314413,0,0
-23.153776219639283,182.7045898153844,-247.1863017156031,0,0
-23.08790836340821,182.737022658265,-246.59679080715395,0,1
-23.38108244633381,182.21715122838208,-246.4533247526417,0,0
-23.34143926683318,182.381264875675,-246.91536345502283,0,0
-23.43076887749188,182.2926813651206,-247.2864886554256,0,0
-23.38409826587068,182.431120812591,-248.14603331138096,0,0
-23.64658934218207,181.63570575466147,-246.3083184096429,0,0
-23.50899604427281,182.2277849152408,-247.7686908678604,0,0
-23.6337746341532,182.08306942717635,-248.19055675724863,0,0
-23.730337618713907,181.8890009740713,-247.85665823498263,0,0
-23.600899864978857,181.9324647046001,-246.93864069828547,0,0
-23.639455329246864,181.96610792835304,-247.4136992157001,0,1
-23.79900527096605,181.7271171968229,-247.63082434041607,0,0
-24.096577173593303,180.9112573579773,-247.1589427431857,0,1
-24.235913193420267,180.686917925258,-247.4674977534128,0,0
-23.950243650616272,181.49540451804504,-247.84404889862915,0,0
-24.11726189393947,181.08558265594365,-247.65880678198343,0,0
-23.883476517464185,181.4746215316974,-247.29666054414483,0,0
-24.107836209732227,181.2323338963265,-248.0244707406709,0,0
-24.03123958489176,181.44723618692967,-248.2669134386724,0,0
-23.84530996500612,181.7608022183253,-248.2305053378278,0,0
