x_mm,y_mm,z_mm,VM_cycle_max_Pa,VM_cycle_min_Pa,VM_stress_range_Pa,VM_stress_amplitude_Pa,VM_midrange_stress_Pa,VM_temporal_mean_Pa,t_VM_max_s
-18.49728522791793,168.77569938530067,-240.58190015505787,3711.2694296237937,2.794210694590612e-07,3711.269429344373,1855.6347146721864,1855.6347149516073,644.7935917450386,0.05
-19.763540871954312,170.19095786879365,-241.2088239954596,3157.445592384469,3.394958601762664e-07,3157.445592044973,1578.7227960224866,1578.7227963619823,557.9722528927502,0.05
-19.061074908927196,170.39976690915967,-239.31545663992875,3282.7839157143576,4.461242875400068e-07,3282.783915268233,1641.3919576341166,1641.391958080241,617.4276182163843,0.05
-18.92244883304557,171.469265821838,-237.4770525870761,2823.0367409452883,5.640722988507963e-07,2823.036740381216,1411.518370190608,1411.5183707546803,571.0806991180433,0.05
-18.76793878190396,172.73935996086124,-235.402436316008,2372.110676779051,7.778968515921965e-07,2372.1106760011544,1186.0553380005772,1186.055338778474,509.07411684150907,0.05
-19.082794524404367,176.18766260802008,-233.16848508875415,1906.4408689170195,9.313427342093588e-07,1906.4408679856767,953.2204339928384,953.2204349241812,376.3119440144695,0.05
-19.006884467098292,174.57422483437392,-234.1554430032762,1994.398643050144,8.352767133417198e-07,1994.3986422148673,997.1993211074337,997.1993219427104,422.8075380941696,0.05
-20.545427010745648,170.074636911601,-243.059999424298,3285.871836513745,1.6993437942588318e-07,3285.8718363438106,1642.9359181719053,1642.9359183418399,506.20030210390433,0.05
-21.3684594666608,170.10515244467868,-244.80599794639448,4222.093099892097,6.714387461642942e-08,4222.093099824953,2111.0465499124766,2111.04654997962,521.2415479567311,0.05
-20.872116786926536,171.54551745609163,-242.02887606275425,2592.706260666966,3.143124817790583e-07,2592.7062603526538,1296.3531301763269,1296.3531304906392,459.7538283675329,0.05
-20.20338378231264,171.7448789329985,-240.29813859096475,2679.756684452152,4.465673215780043e-07,2679.7566840055847,1339.8783420027924,1339.8783424493597,505.64855516952156,0.05
-19.788598489144608,173.28704869416683,-237.62238274569057,2173.95034109175,5.739001185124224e-07,2173.95034051785,1086.975170258925,1086.9751708328251,451.4210517351336,0.05
-19.75615645499312,172.10196555600768,-238.8265985987549,2506.8788812888765,5.849028797701049e-07,2506.8788807039737,1253.4394403519868,1253.4394409368897,501.3191828193459,0.05
-19.73850184882622,174.75613520542817,-236.11782870952047,1864.2102641443687,9.162846328214856e-07,1864.2102632280842,932.1051316140421,932.1051325303266,386.0207562445106,0.05
-19.75981153785994,176.19184818396764,-235.16847821489372,1723.951825256761,9.551260018426152e-07,1723.9518243016348,861.9759121508174,861.9759131059435,342.1547975835852,0.05
-20.50528190410645,174.97174475873572,-237.9963935796736,1696.6314178609557,6.501657233200705e-07,1696.63141721079,848.315708605395,848.3157092555607,342.8972074112605,0.05
-21.547118639588007,171.43017164191107,-243.64635246743777,2929.806270900397,1.6027038873095505e-07,2929.806270740127,1464.9031353700634,1464.9031355303337,443.25285411364774,0.05
-22.28637214396165,171.47376052584733,-245.26302622212327,4680.335617682707,5.9599429322694894e-08,4680.335617623108,2340.167808811554,2340.1678088711533,557.5978403451425,0.05
-21.721206936079287,172.75770400298944,-242.75278399934007,2132.813150092466,2.915384135566988e-07,2132.8131498009275,1066.4065749004637,1066.4065751920023,376.4148399931297,0.05
-21.170501558866416,172.9818659986204,-241.2882127405246,2020.5264120572192,4.493873764442273e-07,2020.5264116078317,1010.2632058039159,1010.2632062533033,390.9220113312537,0.05
-20.5989698929906,173.48644890019867,-239.47821537791023,2045.7993698218995,6.915172660061324e-07,2045.7993691303823,1022.8996845651911,1022.8996852567084,404.95704362631545,0.05
-20.46290621328986,176.35836515711836,-236.96183995831964,1583.997481209375,7.654503308545315e-07,1583.9974804439248,791.9987402219624,791.9987409874127,305.0147580643417,0.05
-21.2377044047564,175.39905258523484,-239.55079892177287,1559.2700806663213,6.043661624713946e-07,1559.2700800619552,779.6350400309776,779.6350406353437,300.8347526699844,0.05
-22.342449273940627,172.69194216405887,-244.2364858676068,2463.2698327244107,1.5901981551652828e-07,2463.269832565391,1231.6349162826955,1231.6349164417152,374.53202656489367,0.05
-22.979220457731405,172.75336244277727,-245.6836013508251,4557.134435908164,5.6382479767037527e-08,4557.134435851782,2278.567217925891,2278.567217982273,540.7762058284479,0.05
-23.499533819394635,173.92948902399064,-246.06542454586403,5192.734737177161,5.1459239993046596e-08,5192.734737125702,2596.367368562851,2596.36736861431,598.5631609907715,0.05
-22.95142628997174,173.83738960898543,-244.7755478826533,2416.4309558187792,1.6463531662970557e-07,2416.430955654144,1208.215477827072,1208.2154779917073,349.2915161606817,0.05
-21.83164242280715,173.87715659853453,-242.08001237859665,1668.2331571153677,3.990683118918466e-07,1668.2331567162994,834.1165783581497,834.116578757218,323.2571642004621,0.05
-22.418421397344705,174.06815148997393,-243.32686719608915,1519.4075112400672,3.066562685916346e-07,1519.4075109334108,759.7037554667054,759.7037557733618,289.3505476123623,0.05
