val_patient,target,calibration_fraction,n_calibration,R2,MAE,RMSE,Spearman,Top10_overlap
2,OSI,0.02,136,0.59849093748898,0.04564876356807132,0.06533914922405579,0.8211269862882206,0.2957957957957958
2,OSI,0.05,340,0.720672347158063,0.034416249510279516,0.05458591779073175,0.889836169808695,0.41640866873065013
2,OSI,0.1,680,0.7603673748195904,0.029597417575801786,0.05056632445186751,0.9039365944576163,0.5065359477124183
2,RRT_1_per_Pa,0.01,68,0.24739252537675138,2.3504924396238227,5.78885444468345,0.8126247347010853,0.4606240713224368
2,RRT_1_per_Pa,0.02,136,0.3774489277328086,1.8672643630472023,5.292827812358906,0.8589012419782757,0.5375375375375375
2,RRT_1_per_Pa,0.05,340,0.35580936421705167,1.5116922329186748,5.278337383092952,0.9047274961698826,0.5557275541795665
2,RRT_1_per_Pa,0.1,680,0.4341339107789417,1.3273564613067423,5.1448068415647565,0.9160211269092461,0.6715686274509803
2,peak_WSS_magnitude_Pa,0.01,68,0.45199705438701,3.0836493450839795,7.9877575809701735,0.8954992397015115,0.6329866270430906
2,peak_WSS_magnitude_Pa,0.02,136,0.5303954312758592,2.8686011404016334,7.408217226790822,0.9129789732823214,0.6381381381381381
2,peak_WSS_magnitude_Pa,0.05,340,0.5826551183517512,2.6062245547338136,6.966119659887473,0.9391547761161527,0.6099071207430341
2,peak_WSS_magnitude_Pa,0.1,680,0.5841626607997084,2.428522119704911,6.917503780972979,0.9414422857389894,0.6764705882352942
2,VM_cycle_max_Pa,0.01,68,0.08241359137894899,731.6879326999151,1077.3977627792592,0.4162380299656247,0.337295690936107
2,VM_cycle_max_Pa,0.02,136,0.266764879860632,653.2238792616437,963.8413279327314,0.5404733709586449,0.5135135135135135
2,VM_cycle_max_Pa,0.05,340,0.44405731684519123,549.6772477303551,840.4690275595109,0.6681598897669434,0.5309597523219814
2,VM_cycle_max_Pa,0.1,680,0.5501961695462383,481.25896835538066,752.4538134225837,0.7245552786843033,0.5866013071895425
2,VM_stress_amplitude_Pa,0.01,68,0.08241360038230061,365.8439647213689,538.6988787597403,0.4162380299656247,0.337295690936107
2,VM_stress_amplitude_Pa,0.02,136,0.266764888392636,326.6119382685886,481.9206611556693,0.5404733709586449,0.5135135135135135
2,VM_stress_amplitude_Pa,0.05,340,0.4440573238812474,274.83862246914055,420.2345111143017,0.6681598671099913,0.5309597523219814
2,VM_stress_amplitude_Pa,0.1,680,0.5501961750003879,240.62948280598755,376.2269044610525,0.7245553008288788,0.5866013071895425
2,VM_temporal_mean_Pa,0.01,68,0.16942021431404364,153.68308328462086,221.93972394271228,0.4486544628666971,0.4160475482912333
2,VM_temporal_mean_Pa,0.02,136,0.2884269001395755,140.8097036634341,205.75837530915805,0.5418352527615273,0.5195195195195195
2,VM_temporal_mean_Pa,0.05,340,0.511557012830903,115.90276648952847,170.5358916089476,0.684696403114994,0.6114551083591331
2,VM_temporal_mean_Pa,0.1,680,0.6198285942545491,101.00431994984963,149.48834797781885,0.7405151620465371,0.6454248366013072
3,TAWSS_vector_Pa,0.01,32,0.10747299885333983,0.15333833535480776,0.3444976701344359,0.31978147813023033,0.48264984227129337
